,year,round,game,home_team,away_team,home_score,away_score,winner
2014_2_3,2014,2,3,Rivers of Babylon,The Alligators,113.28,106.18,Rivers of Babylon
2014_2_4,2014,2,4,Settlers of Catanzaro,Jordy 'Shaw,124.64,141.34,Jordy 'Shaw
2014_2_5,2014,2,5,Kung Fu Russel,SERPION,74.82,64.44,Kung Fu Russel
2014_2_6,2014,2,6,Doug and the Staff Infections,Players of Fortetude,71.74,67.36,Doug and the Staff Infections
2014_3_1,2014,3,1,IT'S ON LIKE NDAMUKONG,The Alligators,86.8,93.92,The Alligators
2014_3_2,2014,3,2,In The Aeroplane Over Vereen,Sanu Improved and Peytonted,76.1,111.72,Sanu Improved and Peytonted
2014_3_3,2014,3,3,Jordy 'Shaw,JOSH GORDON'S GANJA ARMY,103.68,97.74,Jordy 'Shaw
2014_3_4,2014,3,4,SERPION,Rivers of Babylon,120.34,95.5,SERPION
2014_3_5,2014,3,5,Players of Fortetude,Settlers of Catanzaro,119.06,95.5,Players of Fortetude
2014_3_6,2014,3,6,Doug and the Staff Infections,Kung Fu Russel,102.64,77.9,Doug and the Staff Infections
2014_4_1,2014,4,1,IT'S ON LIKE NDAMUKONG,SERPION,104.68,101.72,IT'S ON LIKE NDAMUKONG
2014_4_2,2014,4,2,The Alligators,In The Aeroplane Over Vereen,99.3,125.9,In The Aeroplane Over Vereen
2014_4_3,2014,4,3,Sanu Improved and Peytonted,Jordy 'Shaw,130.16,139.48,Jordy 'Shaw
2014_4_4,2014,4,4,JOSH GORDON'S GANJA ARMY,Players of Fortetude,76.96,90.38,Players of Fortetude
2014_4_5,2014,4,5,Rivers of Babylon,Doug and the Staff Infections,115.48,100.72,Rivers of Babylon
2014_4_6,2014,4,6,Settlers of Catanzaro,Kung Fu Russel,74.14,124.92,Kung Fu Russel
2014_5_1,2014,5,1,IT'S ON LIKE NDAMUKONG,Doug and the Staff Infections,74.1,124.34,Doug and the Staff Infections
2014_5_2,2014,5,2,In The Aeroplane Over Vereen,Jordy 'Shaw,77.58,91.34,Jordy 'Shaw
2014_5_3,2014,5,3,SERPION,The Alligators,131.54,105.64,SERPION
2014_5_4,2014,5,4,Players of Fortetude,Sanu Improved and Peytonted,108.7,101.76,Players of Fortetude
