,year,round,game,home_team,away_team,home_score,away_score,winner
2019_8_5,2019,8,5,SERPION,Hit em where it Ertz,115.22,77.78,SERPION
2019_8_6,2019,8,6,Peaches and Kareem,[name redacted],98.78,104.18,[name redacted]
2019_8_7,2019,8,7,Wake up Mr Freeman,The Action Jackson Show,134.8,68.0,Wake up Mr Freeman
2019_8_8,2019,8,8,Jumping the Chark,Leeannacondas,99.0,93.2,Jumping the Chark
2019_9_1,2019,9,1,Standard Deviations,Wake up Mr Freeman,53.26,84.4,Wake up Mr Freeman
2019_9_2,2019,9,2,[name redacted],The Aligators,124.08,105.34,[name redacted]
2019_9_3,2019,9,3,Peaches and Kareem,Fuller breida butter,115.62,119.94,Fuller breida butter
2019_9_4,2019,9,4,Rolling with Mahomies,SERPION,99.1,104.4,SERPION
2019_9_5,2019,9,5,The Hatters,Hit em where it Ertz,119.4,81.36,The Hatters
2019_9_6,2019,9,6,Jumping the Chark,We're in Evan,81.04,104.78,We're in Evan
2019_9_7,2019,9,7,Chicken Karama with rice,The Action Jackson Show,75.26,92.02,The Action Jackson Show
2019_9_8,2019,9,8,Leeannacondas,Kandys Konservative Koalition,68.94,123.72,Kandys Konservative Koalition
2019_10_1,2019,10,1,Standard Deviations,Kandys Konservative Koalition,68.02,89.26,Kandys Konservative Koalition
2019_10_2,2019,10,2,The Hatters,The Aligators,89.42,86.9,The Hatters
2019_10_3,2019,10,3,[name redacted],Hit em where it Ertz,123.58,106.44,[name redacted]
2019_10_4,2019,10,4,Rolling with Mahomies,Fuller breida butter,141.84,75.72,Rolling with Mahomies
2019_10_5,2019,10,5,Peaches and Kareem,SERPION,72.18,129.48,SERPION
2019_10_6,2019,10,6,Chicken Karama with rice,We're in Evan,83.98,71.82,Chicken Karama with rice
2019_10_7,2019,10,7,Jumping the Chark,The Action Jackson Show,98.32,115.22,The Action Jackson Show
2019_10_8,2019,10,8,Wake up Mr Freeman,Leeannacondas,61.18,115.16,Leeannacondas
2019_11_1,2019,11,1,Standard Deviations,Chicken Karama with rice,54.42,77.12,Chicken Karama with rice
2019_11_2,2019,11,2,Fuller breida butter,The Aligators,47.26,92.72,The Aligators
2019_11_3,2019,11,3,Peaches and Kareem,Hit em where it Ertz,98.88,96.94,Peaches and Kareem
2019_11_4,2019,11,4,SERPION,[name redacted],92.92,115.18,[name redacted]
2019_11_5,2019,11,5,Rolling with Mahomies,The Hatters,81.18,66.24,Rolling with Mahomies
2019_11_6,2019,11,6,We're in Evan,Kandys Konservative Koalition,65.96,61.1,We're in Evan
2019_11_7,2019,11,7,The Action Jackson Show,Leeannacondas,114.58,130.8,Leeannacondas
2019_11_8,2019,11,8,Jumping the Chark,Wake up Mr Freeman,132.34,66.04,Jumping the Chark
2019_12_1,2019,12,1,Standard Deviations,Rolling with Mahomies,73.38,56.68,Standard Deviations
2019_12_2,2019,12,2,We're in Evan,The Aligators,106.92,114.46,The Aligators
2019_12_3,2019,12,3,The Action Jackson Show,Hit em where it Ertz,91.96,111.7,Hit em where it Ertz
2019_12_4,2019,12,4,Jumping the Chark,[name redacted],90.36,57.24,Jumping the Chark
2019_12_5,2019,12,5,Chicken Karama with rice,The Hatters,110.38,68.0,Chicken Karama with rice
2019_12_6,2019,12,6,Kandys Konservative Koalition,Fuller breida butter,71.98,136.82,Fuller breida butter
2019_12_7,2019,12,7,Peaches and Kareem,Leeannacondas,101.3,65.5,Peaches and Kareem
2019_12_8,2019,12,8,Wake up Mr Freeman,SERPION,34.54,89.94,SERPION
2019_13_1,2019,13,1,Standard Deviations,The Hatters,97.96,105.94,The Hatters
2019_13_2,2019,13,2,Kandys Konservative Koalition,The Aligators,65.22,84.98,The Aligators
2019_13_3,2019,13,3,Leeannacondas,Hit em where it Ertz,108.32,97.84,Leeannacondas
2019_13_4,2019,13,4,Wake up Mr Freeman,[name redacted],112.18,120.4,[name redacted]
2019_13_5,2019,13,5,Fuller breida butter,We're in Evan,108.26,69.5,Fuller breida butter
2019_13_6,2019,13,6,The Action Jackson Show,Peaches and Kareem,63.7,89.8,Peaches and Kareem
2019_13_7,2019,13,7,Jumping the Chark,SERPION,93.78,85.76,Jumping the Chark
2019_13_8,2019,13,8,Rolling with Mahomies,Chicken Karama with rice,103.4,50.64,Rolling with Mahomies
2019_14_1,2019,14,1,Jumping the Chark,We're in Evan,93.4,101.26,We're in Evan
2019_14_2,2019,14,2,Hit em where it Ertz,Leeannacondas,104.4,107.76,Leeannacondas
2019_14_3,2019,14,3,Chicken Karama with rice,SERPION,75.38,89.44,SERPION
2019_14_4,2019,14,4,The Aligators,Wake up Mr Freeman,142.74,98.8,The Aligators
2019_15_1,2019,15,1,Standard Deviations,Jumping the Chark,108.06,86.92,Standard Deviations
2019_15_2,2019,15,2,Hit em where it Ertz,Kandys Konservative Koalition,113.96,160.82,Kandys Konservative Koalition
2019_15_3,2019,15,3,[name redacted],SERPION,106.28,92.88,[name redacted]
2019_15_4,2019,15,4,The Aligators,Peaches and Kareem,112.76,154.64,Peaches and Kareem
2019_16_1,2019,16,1,Standard Deviations,Kandys Konservative Koalition,80.92,105.54,Kandys Konservative Koalition
2019_16_2,2019,16,2,Jumping the Chark,Hit em where it Ertz,65.54,148.76,Hit em where it Ertz
2019_16_3,2019,16,3,Leeannacondas,We're in Evan,76.52,94.12,We're in Evan
2019_16_4,2019,16,4,[name redacted],Peaches and Kareem,84.0,79.16,[name redacted]
2019_16_5,2019,16,5,SERPION,The Aligators,70.46,136.48,The Aligators
2019_16_6,2019,16,6,Chicken Karama with rice,Wake up Mr Freeman,87.58,128.52,Wake up Mr Freeman
2020_1_1,2020,1,1,Standard Deviations,The Dirty Birds,88.04,112.7,The Dirty Birds
2020_1_2,2020,1,2,The Aligators,Mikkels Manatees,98.7,118.38,Mikkels Manatees
2020_1_3,2020,1,3,Burnmore Dynamics,Too Many Cooks,115.86,127.1,Too Many Cooks
2020_1_4,2020,1,4,The Puffins,Sanders' Herbs and Spices,121.54,92.9,The Puffins
2020_1_5,2020,1,5,The Kurt Locker,SERPION,117.86,75.4,The Kurt Locker
2020_1_6,2020,1,6,Mooreccan chicken with rice,Kandys Konservative Koalition,97.18,88.08,Mooreccan chicken with rice
2020_1_7,2020,1,7,Leeannacondas,The Hatters,88.6,114.62,The Hatters
2020_1_8,2020,1,8,Piggy's Mixon match lolly bar,The Beer Barons,98.62,99.96,The Beer Barons
2020_2_1,2020,2,1,Standard Deviations,Mikkels Manatees,140.9,64.26,Standard Deviations
2020_2_2,2020,2,2,The Beer Barons,The Aligators,125.64,150.18,The Aligators
2020_2_3,2020,2,3,The Dirty Birds,Too Many Cooks,109.56,91.08,The Dirty Birds
2020_2_4,2020,2,4,Piggy's Mixon match lolly bar,Burnmore Dynamics,78.66,97.48,Burnmore Dynamics
2020_2_5,2020,2,5,Sanders' Herbs and Spices,Kandys Konservative Koalition,116.34,90.72,Sanders' Herbs and Spices
2020_2_6,2020,2,6,Mooreccan chicken with rice,SERPION,115.0,83.18,Mooreccan chicken with rice
2020_2_7,2020,2,7,The Hatters,The Puffins,85.4,125.08,The Puffins
2020_2_8,2020,2,8,The Kurt Locker,Leeannacondas,112.3,101.52,The Kurt Locker
2020_3_1,2020,3,1,Standard Deviations,Burnmore Dynamics,123.98,136.98,Burnmore Dynamics
2020_3_2,2020,3,2,Piggy's Mixon match lolly bar,Mikkels Manatees,58.5,94.8,Mikkels Manatees
2020_3_3,2020,3,3,Leeannacondas,Sanders' Herbs and Spices,95.82,94.0,Leeannacondas
2020_3_4,2020,3,4,The Kurt Locker,Kandys Konservative Koalition,91.82,92.2,Kandys Konservative Koalition
2020_3_5,2020,3,5,The Dirty Birds,The Aligators,89.48,92.38,The Aligators
2020_3_6,2020,3,6,Too Many Cooks,The Beer Barons,96.32,93.88,Too Many Cooks
2020_3_7,2020,3,7,SERPION,The Hatters,169.7,108.56,SERPION
2020_3_8,2020,3,8,Mooreccan chicken with rice,The Puffins,97.94,132.1,The Puffins
2020_4_1,2020,4,1,Standard Deviations,Sanders' Herbs and Spices,101.48,90.92,Standard Deviations
2020_4_2,2020,4,2,Kandys Konservative Koalition,Mikkels Manatees,126.3,73.24,Kandys Konservative Koalition
2020_4_3,2020,4,3,Mooreccan chicken with rice,The Aligators,99.82,111.74,The Aligators
2020_4_4,2020,4,4,The Hatters,Too Many Cooks,118.1,91.14,The Hatters
2020_4_5,2020,4,5,Leeannacondas,Burnmore Dynamics,90.88,145.3,Burnmore Dynamics
2020_4_6,2020,4,6,SERPION,The Beer Barons,116.5,81.4,SERPION
2020_4_7,2020,4,7,The Dirty Birds,The Puffins,93.12,90.04,The Dirty Birds
2020_4_8,2020,4,8,Piggy's Mixon match lolly bar,The Kurt Locker,78.74,107.18,The Kurt Locker
2020_5_1,2020,5,1,Standard Deviations,The Kurt Locker,120.04,106.36,Standard Deviations
2020_5_2,2020,5,2,Leeannacondas,Mikkels Manatees,81.34,98.96,Mikkels Manatees
2020_5_3,2020,5,3,Kandys Konservative Koalition,Burnmore Dynamics,66.78,89.72,Burnmore Dynamics
2020_5_4,2020,5,4,Piggy's Mixon match lolly bar,Sanders' Herbs and Spices,72.44,100.8,Sanders' Herbs and Spices
2020_5_5,2020,5,5,The Hatters,The Aligators,121.88,63.92,The Hatters
2020_5_6,2020,5,6,Too Many Cooks,Mooreccan chicken with rice,127.1,65.82,Too Many Cooks
2020_5_7,2020,5,7,The Dirty Birds,SERPION,103.5,90.66,The Dirty Birds
2020_5_8,2020,5,8,The Beer Barons,The Puffins,109.06,129.8,The Puffins
2020_6_1,2020,6,1,Standard Deviations,Kandys Konservative Koalition,112.78,142.74,Kandys Konservative Koalition
2020_6_2,2020,6,2,Sanders' Herbs and Spices,Mikkels Manatees,71.32,66.42,Sanders' Herbs and Spices
2020_6_3,2020,6,3,The Aligators,SERPION,97.98,103.22,SERPION
2020_6_4,2020,6,4,The Puffins,Too Many Cooks,83.9,94.32,Too Many Cooks
2020_6_5,2020,6,5,The Kurt Locker,Burnmore Dynamics,118.7,82.04,The Kurt Locker
2020_6_6,2020,6,6,The Beer Barons,Mooreccan chicken with rice,123.14,107.88,The Beer Barons
2020_6_7,2020,6,7,The Hatters,The Dirty Birds,93.0,79.06,The Hatters
2020_6_8,2020,6,8,Piggy's Mixon match lolly bar,Leeannacondas,65.32,83.94,Leeannacondas
2020_7_1,2020,7,1,Standard Deviations,The Aligators,83.36,69.16,Standard Deviations
2020_7_2,2020,7,2,The Beer Barons,Mikkels Manatees,122.56,103.7,The Beer Barons
2020_7_3,2020,7,3,Piggy's Mixon match lolly bar,Too Many Cooks,96.92,91.48,Piggy's Mixon match lolly bar
2020_7_4,2020,7,4,The Dirty Birds,Burnmore Dynamics,65.9,149.06,Burnmore Dynamics
2020_7_5,2020,7,5,Mooreccan chicken with rice,Sanders' Herbs and Spices,111.08,99.8,Mooreccan chicken with rice
2020_7_6,2020,7,6,Kandys Konservative Koalition,SERPION,104.82,147.56,SERPION
2020_7_7,2020,7,7,Leeannacondas,The Puffins,94.38,86.1,Leeannacondas
2020_7_8,2020,7,8,The Hatters,The Kurt Locker,62.26,96.42,The Kurt Locker
2020_8_1,2020,8,1,Standard Deviations,Leeannacondas,106.44,94.24,Standard Deviations
2020_8_2,2020,8,2,The Kurt Locker,Mikkels Manatees,65.74,147.44,Mikkels Manatees
2020_8_3,2020,8,3,Sanders' Herbs and Spices,Burnmore Dynamics,48.66,81.52,Burnmore Dynamics
2020_8_4,2020,8,4,Piggy's Mixon match lolly bar,Kandys Konservative Koalition,66.78,75.74,Kandys Konservative Koalition
2020_8_5,2020,8,5,The Puffins,The Aligators,92.14,61.96,The Puffins
2020_8_6,2020,8,6,SERPION,Too Many Cooks,87.42,139.5,Too Many Cooks
2020_8_7,2020,8,7,Mooreccan chicken with rice,The Dirty Birds,64.26,68.46,The Dirty Birds
2020_8_8,2020,8,8,The Hatters,The Beer Barons,62.66,100.24,The Beer Barons
2020_9_1,2020,9,1,Standard Deviations,The Beer Barons,77.0,93.52,The Beer Barons
2020_9_2,2020,9,2,Too Many Cooks,Mikkels Manatees,128.78,72.94,Too Many Cooks
2020_9_3,2020,9,3,Burnmore Dynamics,The Aligators,96.7,70.56,Burnmore Dynamics
2020_9_4,2020,9,4,Sanders' Herbs and Spices,SERPION,56.5,109.42,SERPION
2020_9_5,2020,9,5,The Kurt Locker,The Puffins,141.0,93.48,The Kurt Locker
2020_9_6,2020,9,6,The Hatters,Kandys Konservative Koalition,77.24,92.7,Kandys Konservative Koalition
2020_9_7,2020,9,7,Leeannacondas,Mooreccan chicken with rice,90.76,81.4,Leeannacondas
2020_9_8,2020,9,8,Piggy's Mixon match lolly bar,The Dirty Birds,102.94,52.76,Piggy's Mixon match lolly bar
2020_10_1,2020,10,1,Standard Deviations,Piggy's Mixon match lolly bar,99.34,74.78,Standard Deviations
2020_10_2,2020,10,2,Burnmore Dynamics,Mikkels Manatees,97.26,72.44,Burnmore Dynamics
2020_10_3,2020,10,3,Too Many Cooks,The Aligators,84.24,98.42,The Aligators
2020_10_4,2020,10,4,The Kurt Locker,Sanders' Herbs and Spices,88.34,86.6,The Kurt Locker
2020_10_5,2020,10,5,SERPION,The Puffins,81.02,71.92,SERPION
2020_10_6,2020,10,6,Leeannacondas,Kandys Konservative Koalition,82.72,81.32,Leeannacondas
2020_10_7,2020,10,7,Mooreccan chicken with rice,The Hatters,101.36,90.12,Mooreccan chicken with rice
2020_10_8,2020,10,8,The Beer Barons,The Dirty Birds,104.46,57.04,The Beer Barons
2020_11_1,2020,11,1,Standard Deviations,Kandys Konservative Koalition,130.78,115.48,Standard Deviations
2020_11_2,2020,11,2,Sanders' Herbs and Spices,Mikkels Manatees,83.46,72.12,Sanders' Herbs and Spices
2020_11_3,2020,11,3,SERPION,The Aligators,106.6,108.9,The Aligators
2020_11_4,2020,11,4,The Puffins,Too Many Cooks,129.32,105.04,The Puffins
2020_11_5,2020,11,5,Burnmore Dynamics,The Kurt Locker,120.34,78.14,Burnmore Dynamics
2020_11_6,2020,11,6,The Beer Barons,Mooreccan chicken with rice,77.62,100.22,Mooreccan chicken with rice
2020_11_7,2020,11,7,The Dirty Birds,The Hatters,64.54,111.16,The Hatters
2020_11_8,2020,11,8,Leeannacondas,Piggy's Mixon match lolly bar,55.78,70.28,Piggy's Mixon match lolly bar
2020_12_1,2020,12,1,Standard Deviations,Sanders' Herbs and Spices,70.7,107.7,Sanders' Herbs and Spices
2020_12_2,2020,12,2,Kandys Konservative Koalition,Mikkels Manatees,119.7,96.0,Kandys Konservative Koalition
2020_12_3,2020,12,3,Mooreccan chicken with rice,The Aligators,69.38,86.06,The Aligators
2020_12_4,2020,12,4,The Hatters,Too Many Cooks,77.42,100.42,Too Many Cooks
2020_12_5,2020,12,5,Leeannacondas,Burnmore Dynamics,159.7,87.82,Leeannacondas
2020_12_6,2020,12,6,SERPION,The Beer Barons,145.4,96.0,SERPION
2020_12_7,2020,12,7,The Puffins,The Dirty Birds,110.08,77.0,The Puffins
2020_12_8,2020,12,8,Piggy's Mixon match lolly bar,The Kurt Locker,51.84,93.14,The Kurt Locker
2020_13_1,2020,13,1,Standard Deviations,Mikkels Manatees,115.98,126.08,Mikkels Manatees
2020_13_2,2020,13,2,The Beer Barons,The Aligators,133.2,128.56,The Beer Barons
2020_13_3,2020,13,3,The Dirty Birds,Too Many Cooks,66.78,108.6,Too Many Cooks
2020_13_4,2020,13,4,Piggy's Mixon match lolly bar,Burnmore Dynamics,51.4,103.18,Burnmore Dynamics
2020_13_5,2020,13,5,Sanders' Herbs and Spices,Kandys Konservative Koalition,62.52,110.72,Kandys Konservative Koalition
2020_13_6,2020,13,6,SERPION,Mooreccan chicken with rice,76.74,102.5,Mooreccan chicken with rice
2020_13_7,2020,13,7,The Puffins,The Hatters,86.72,103.14,The Hatters
2020_13_8,2020,13,8,The Kurt Locker,Leeannacondas,106.2,120.86,Leeannacondas
2020_14_1,2020,14,1,Mooreccan chicken with rice,Sanders' Herbs and Spices,78.42,68.16,Mooreccan chicken with rice
2020_14_2,2020,14,2,Mikkels Manatees,The Aligators,112.36,115.16,The Aligators
2020_14_3,2020,14,3,Kandys Konservative Koalition,The Kurt Locker,81.64,113.3,The Kurt Locker
2020_14_4,2020,14,4,SERPION,Leeannacondas,124.58,106.84,SERPION
2020_15_1,2020,15,1,Piggy's Mixon match lolly bar,Sanders' Herbs and Spices,72.0,89.64,Sanders' Herbs and Spices
2020_15_2,2020,15,2,Mikkels Manatees,The Dirty Birds,85.08,92.5,The Dirty Birds
2020_15_3,2020,15,3,Burnmore Dynamics,The Kurt Locker,121.02,107.62,Burnmore Dynamics
2020_15_4,2020,15,4,SERPION,Too Many Cooks,103.06,102.36,SERPION
2020_16_1,2020,16,1,Sanders' Herbs and Spices,The Dirty Birds,105.18,78.42,Sanders' Herbs and Spices
2020_16_2,2020,16,2,Piggy's Mixon match lolly bar,Mikkels Manatees,121.04,100.38,Piggy's Mixon match lolly bar
2020_16_3,2020,16,3,The Aligators,Mooreccan chicken with rice,84.06,86.9,Mooreccan chicken with rice
2020_16_4,2020,16,4,Burnmore Dynamics,SERPION,134.02,104.5,Burnmore Dynamics
2020_16_5,2020,16,5,The Kurt Locker,Too Many Cooks,82.54,103.64,Too Many Cooks
2020_16_6,2020,16,6,Kandys Konservative Koalition,Leeannacondas,148.4,95.0,Kandys Konservative Koalition
2021_1_1,2021,1,1,Standard Deviations,SERPION,73.72,130.76,SERPION
2021_1_2,2021,1,2,Bearnaise Dynamics,Too Many Cooks,108.84,114.56,Too Many Cooks
2021_1_3,2021,1,3,Kurlewless,AT Football Team,103.98,121.02,AT Football Team
2021_1_4,2021,1,4,The Beer Barons,pending,110.58,113.3,pending
2021_1_5,2021,1,5,The Aligators,The Hatters,66.36,101.64,The Hatters
2021_1_6,2021,1,6,Leeannacondas,Swiftboats 4 breakdown justice,62.98,110.82,Swiftboats 4 breakdown justice
2021_1_7,2021,1,7,The Dirty Birds,Mikkels Manatees,103.94,125.06,Mikkels Manatees
2021_1_8,2021,1,8,Piggy's bushfire Carsonists,The Puffins,87.3,150.36,The Puffins
2021_2_1,2021,2,1,Standard Deviations,Leeannacondas,118.6,135.78,Leeannacondas
2021_2_2,2021,2,2,The Dirty Birds,Too Many Cooks,134.66,91.22,The Dirty Birds
2021_2_3,2021,2,3,The Puffins,Bearnaise Dynamics,115.2,109.12,The Puffins
2021_2_4,2021,2,4,Mikkels Manatees,AT Football Team,115.94,96.12,Mikkels Manatees
2021_2_5,2021,2,5,Piggy's bushfire Carsonists,Kurlewless,100.86,76.32,Piggy's bushfire Carsonists
2021_2_6,2021,2,6,pending,The Hatters,108.26,112.62,The Hatters
2021_2_7,2021,2,7,SERPION,The Aligators,63.3,94.52,The Aligators
2021_2_8,2021,2,8,The Beer Barons,Swiftboats 4 breakdown justice,113.84,71.78,The Beer Barons
2021_3_1,2021,3,1,Standard Deviations,The Hatters,85.74,101.82,The Hatters
2021_3_2,2021,3,2,Piggy's bushfire Carsonists,Too Many Cooks,84.28,73.82,Piggy's bushfire Carsonists
2021_3_3,2021,3,3,The Dirty Birds,Kurlewless,120.02,83.64,The Dirty Birds
2021_3_4,2021,3,4,Leeannacondas,pending,79.08,104.02,pending
2021_3_5,2021,3,5,Bearnaise Dynamics,Mikkels Manatees,103.42,136.38,Mikkels Manatees
2021_3_6,2021,3,6,The Puffins,AT Football Team,114.24,119.0,AT Football Team
2021_3_7,2021,3,7,SERPION,Swiftboats 4 breakdown justice,93.54,113.52,Swiftboats 4 breakdown justice
2021_3_8,2021,3,8,The Aligators,The Beer Barons,86.82,101.74,The Beer Barons
2021_4_1,2021,4,1,Standard Deviations,Piggy's bushfire Carsonists,119.52,79.74,Standard Deviations
2021_4_2,2021,4,2,The Hatters,Too Many Cooks,81.72,77.16,The Hatters
2021_4_3,2021,4,3,The Aligators,Bearnaise Dynamics,64.26,112.8,Bearnaise Dynamics
2021_4_4,2021,4,4,Swiftboats 4 breakdown justice,AT Football Team,113.82,125.32,AT Football Team
2021_4_5,2021,4,5,Leeannacondas,Kurlewless,89.52,84.68,Leeannacondas
2021_4_6,2021,4,6,The Dirty Birds,pending,131.32,75.82,The Dirty Birds
2021_4_7,2021,4,7,SERPION,The Puffins,104.88,107.62,The Puffins
2021_4_8,2021,4,8,The Beer Barons,Mikkels Manatees,153.84,80.26,The Beer Barons
2021_5_1,2021,5,1,Standard Deviations,The Dirty Birds,87.76,110.1,The Dirty Birds
2021_5_2,2021,5,2,Leeannacondas,Too Many Cooks,70.48,85.28,Too Many Cooks
2021_5_3,2021,5,3,The Hatters,Kurlewless,141.04,113.32,The Hatters
2021_5_4,2021,5,4,Piggy's bushfire Carsonists,pending,129.08,149.5,pending
2021_5_5,2021,5,5,Swiftboats 4 breakdown justice,Bearnaise Dynamics,96.28,100.2,Bearnaise Dynamics
2021_5_6,2021,5,6,AT Football Team,The Aligators,87.78,109.02,The Aligators
2021_5_7,2021,5,7,Mikkels Manatees,SERPION,112.84,107.52,Mikkels Manatees
2021_5_8,2021,5,8,The Beer Barons,The Puffins,136.58,123.96,The Beer Barons
2021_6_1,2021,6,1,Standard Deviations,Kurlewless,106.8,98.5,Standard Deviations
2021_6_2,2021,6,2,pending,Too Many Cooks,99.12,78.66,pending
2021_6_3,2021,6,3,SERPION,Bearnaise Dynamics,116.6,131.54,Bearnaise Dynamics
2021_6_4,2021,6,4,The Beer Barons,AT Football Team,100.86,88.88,The Beer Barons
2021_6_5,2021,6,5,The Dirty Birds,The Hatters,136.52,130.24,The Dirty Birds
2021_6_6,2021,6,6,The Puffins,The Aligators,107.26,87.28,The Puffins
2021_6_7,2021,6,7,Swiftboats 4 breakdown justice,Mikkels Manatees,112.0,94.98,Swiftboats 4 breakdown justice
2021_6_8,2021,6,8,Piggy's bushfire Carsonists,Leeannacondas,81.38,109.78,Leeannacondas
2021_7_1,2021,7,1,Standard Deviations,Swiftboats 4 breakdown justice,105.76,99.34,Standard Deviations
2021_7_2,2021,7,2,The Puffins,Too Many Cooks,100.04,108.98,Too Many Cooks
2021_7_3,2021,7,3,The Dirty Birds,Bearnaise Dynamics,104.24,138.16,Bearnaise Dynamics
2021_7_4,2021,7,4,Piggy's bushfire Carsonists,AT Football Team,62.98,25.44,Piggy's bushfire Carsonists
2021_7_5,2021,7,5,Mikkels Manatees,Kurlewless,54.94,112.32,Kurlewless
2021_7_6,2021,7,6,pending,The Aligators,61.0,97.1,The Aligators
2021_7_7,2021,7,7,The Hatters,SERPION,124.54,116.24,The Hatters
2021_7_8,2021,7,8,The Beer Barons,Leeannacondas,92.86,118.7,Leeannacondas
2021_8_1,2021,8,1,Standard Deviations,Too Many Cooks,67.26,90.14,Too Many Cooks
2021_8_2,2021,8,2,pending,Kurlewless,98.56,90.52,pending
2021_8_3,2021,8,3,Piggy's bushfire Carsonists,The Hatters,65.72,85.86,The Hatters
2021_8_4,2021,8,4,Leeannacondas,The Dirty Birds,116.8,114.16,Leeannacondas
2021_8_5,2021,8,5,Bearnaise Dynamics,The Beer Barons,138.0,114.18,Bearnaise Dynamics
2021_8_6,2021,8,6,SERPION,AT Football Team,64.22,54.7,SERPION
2021_8_7,2021,8,7,Mikkels Manatees,The Aligators,79.5,93.3,The Aligators
2021_8_8,2021,8,8,The Puffins,Swiftboats 4 breakdown justice,122.36,64.0,The Puffins
2021_9_1,2021,9,1,Standard Deviations,The Beer Barons,71.5,95.0,The Beer Barons
2021_9_2,2021,9,2,AT Football Team,Too Many Cooks,84.34,52.7,AT Football Team
2021_9_3,2021,9,3,Kurlewless,Bearnaise Dynamics,104.14,110.16,Bearnaise Dynamics
2021_9_4,2021,9,4,SERPION,pending,99.18,86.66,SERPION
2021_9_5,2021,9,5,Swiftboats 4 breakdown justice,The Hatters,64.48,106.78,The Hatters
2021_9_6,2021,9,6,Leeannacondas,The Aligators,85.62,74.2,Leeannacondas
2021_9_7,2021,9,7,The Puffins,The Dirty Birds,62.3,119.28,The Dirty Birds
2021_9_8,2021,9,8,Piggy's bushfire Carsonists,Mikkels Manatees,108.74,62.16,Piggy's bushfire Carsonists
2021_10_1,2021,10,1,Standard Deviations,pending,85.38,92.74,pending
2021_10_2,2021,10,2,Kurlewless,Too Many Cooks,50.7,67.94,Too Many Cooks
2021_10_3,2021,10,3,AT Football Team,Bearnaise Dynamics,128.6,91.82,AT Football Team
2021_10_4,2021,10,4,The Beer Barons,SERPION,105.44,78.22,The Beer Barons
2021_10_5,2021,10,5,Leeannacondas,The Hatters,105.92,71.58,Leeannacondas
2021_10_6,2021,10,6,Swiftboats 4 breakdown justice,The Aligators,90.14,98.8,The Aligators
2021_10_7,2021,10,7,Piggy's bushfire Carsonists,The Dirty Birds,99.72,93.46,Piggy's bushfire Carsonists
2021_10_8,2021,10,8,Mikkels Manatees,The Puffins,93.82,66.04,Mikkels Manatees
2021_11_1,2021,11,1,Standard Deviations,Mikkels Manatees,134.0,75.96,Standard Deviations
2021_11_2,2021,11,2,The Aligators,Too Many Cooks,76.28,86.52,Too Many Cooks
2021_11_3,2021,11,3,Piggy's bushfire Carsonists,Bearnaise Dynamics,89.52,108.46,Bearnaise Dynamics
2021_11_4,2021,11,4,Swiftboats 4 breakdown justice,pending,79.94,92.96,pending
2021_11_5,2021,11,5,AT Football Team,Kurlewless,81.0,113.38,Kurlewless
2021_11_6,2021,11,6,Leeannacondas,SERPION,85.12,83.28,Leeannacondas
2021_11_7,2021,11,7,The Hatters,The Beer Barons,117.42,96.56,The Hatters
2021_11_8,2021,11,8,The Dirty Birds,The Puffins,117.74,81.6,The Dirty Birds
2021_12_1,2021,12,1,Standard Deviations,Kurlewless,126.18,101.72,Standard Deviations
2021_12_2,2021,12,2,pending,Too Many Cooks,65.9,97.98,Too Many Cooks
2021_12_3,2021,12,3,SERPION,Bearnaise Dynamics,43.96,109.08,Bearnaise Dynamics
2021_12_4,2021,12,4,The Beer Barons,AT Football Team,124.88,96.9,The Beer Barons
2021_12_5,2021,12,5,The Hatters,The Dirty Birds,117.3,85.32,The Hatters
2021_12_6,2021,12,6,The Aligators,The Puffins,106.48,63.62,The Aligators
2021_12_7,2021,12,7,Swiftboats 4 breakdown justice,Mikkels Manatees,107.7,48.54,Swiftboats 4 breakdown justice
2021_12_8,2021,12,8,Leeannacondas,Piggy's bushfire Carsonists,118.6,65.8,Leeannacondas
2021_13_1,2021,13,1,Standard Deviations,Piggy's bushfire Carsonists,58.66,88.42,Piggy's bushfire Carsonists
2021_13_2,2021,13,2,The Hatters,Too Many Cooks,109.4,108.34,The Hatters
2021_13_3,2021,13,3,The Aligators,Bearnaise Dynamics,76.84,151.5,Bearnaise Dynamics
2021_13_4,2021,13,4,Swiftboats 4 breakdown justice,AT Football Team,79.62,120.86,AT Football Team
2021_13_5,2021,13,5,Leeannacondas,Kurlewless,83.46,64.38,Leeannacondas
2021_13_6,2021,13,6,pending,The Dirty Birds,99.5,74.9,pending
2021_13_7,2021,13,7,The Puffins,SERPION,109.22,79.38,The Puffins
2021_13_8,2021,13,8,The Beer Barons,Mikkels Manatees,131.66,77.82,The Beer Barons
2021_14_1,2021,14,1,Standard Deviations,Leeannacondas,68.84,114.44,Leeannacondas
2021_14_2,2021,14,2,The Dirty Birds,Too Many Cooks,97.34,116.0,Too Many Cooks
2021_14_3,2021,14,3,Bearnaise Dynamics,The Puffins,92.88,119.42,The Puffins
2021_14_4,2021,14,4,Mikkels Manatees,AT Football Team,101.92,85.92,Mikkels Manatees
2021_14_5,2021,14,5,Piggy's bushfire Carsonists,Kurlewless,70.28,90.7,Kurlewless
2021_14_6,2021,14,6,The Hatters,pending,131.22,93.02,The Hatters
2021_14_7,2021,14,7,SERPION,The Aligators,83.02,135.82,The Aligators
